# DRS4 export. File index 0, run_id=./medidas/run_20260925_105124
# Columns: t[ns] u1[mV] u2[mV] u3[mV]
Event #2  ts=2026-09-25 10:51:28.194  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
1049.219   -10.2   -26.2    -4.9
1050.879     8.8    -0.3     9.0
1052.539    12.9    12.6     5.5
1054.199   -11.7     3.3    -4.6
1055.859   -30.8   -27.8   -32.4
1057.520   -23.6   -32.2    -9.4
1059.180   -19.6   -24.6    -1.0
1060.840    13.7    14.9    -0.9
1062.500     0.2     9.6    -3.3
1064.160   -17.3     2.1    -4.0
1065.820   -17.2   -40.7   -23.4
1067.480   -11.8   -27.4    -5.2
1069.141     1.5    10.5   -11.2
1070.801    -5.7    13.5    -9.2
1072.461   -13.4     3.7    -2.5
1074.121    -9.9   -19.6    -6.5
1075.781    -1.1   -36.8   -14.8
1077.441    -1.9   -19.0   -13.7
1079.102    -6.2     2.7    -5.4
1080.762   -19.6     2.1   -13.0
1082.422   -19.1    -1.1   -13.7
1084.082    -8.1    -8.2    -6.7
1085.742     3.7   -21.2    -6.1
1087.402     0.0    -5.2    -6.4
1089.062    -5.9    -2.7    -6.2
1090.723   -31.8     1.8   -18.7
1092.383   -23.4    -1.8   -24.1
1094.043     8.1    -5.4     9.6
1095.703    16.2    -5.7     6.8
1097.363     5.0   -11.9    -3.2
1099.023   -26.8   -10.1   -12.3
1100.684   -36.9    -9.3   -33.8
1102.344   -31.0    -6.2   -19.6
1104.004    22.1    -1.3     8.0
1105.664    31.0    -2.7    -0.3
1107.324    22.1   -14.2     1.3
1108.984   -39.5    -9.9   -17.8
1110.645   -41.9   -15.4   -33.8
1112.305   -20.2    -1.0     2.0
1113.965    20.3    10.2     2.1
1115.625    38.5   -14.3     0.0
1117.285    13.6   -11.2    11.5
1118.945   -14.3    -7.6     1.1
1120.605   -38.5   -17.0   -24.7
1122.266   -27.5     4.1     5.8
1123.926    17.8     2.0    -3.3
1125.586    25.1   -18.1    -2.5
1127.246    -2.4    -5.1     9.3
1128.906   -36.0   -24.1   -34.2
1130.566   -42.7   -16.2   -22.9
1132.227   -26.0     3.5    -3.9
1133.887    15.6    10.4    -0.7
1135.547    16.8   -10.6     6.1
1137.207    11.1    -9.9     0.0
1138.867   -17.4   -16.1   -19.2
1140.527   -36.1    -7.2   -19.1
1142.188     0.0     8.2     0.0
1143.848     9.3     5.3     0.2
1145.508    20.1    -6.5    -5.7
1147.168    15.9   -17.3     3.7
1148.828    -1.0   -22.3    -9.7
1150.488   -25.9    -7.9   -26.4
1152.148   -29.7     5.9   -10.2
1153.809     5.6    -6.6   -25.4
1155.469    12.0   -15.1   -10.9
1157.129     9.5   -19.3     4.0
1158.789   -15.6   -12.2   -11.8
1160.449   -21.7    -5.0   -28.2
1162.109   -29.2     0.0   -24.5
1163.770    -0.6   -12.2   -14.6
1165.430     4.8   -17.4   -14.5
1167.090    20.4   -14.6     3.3
1168.750    -9.7    -2.1   -16.3
1170.410   -11.4    -3.0   -15.6
1172.070   -36.5    -4.3   -15.3
1173.730   -11.9    -4.7   -10.8
1175.391    16.2   -16.6    -1.4
1177.051    18.1   -13.5     1.3
1178.711     5.3    -7.2    -7.6
1180.371   -16.2    -7.2   -12.2
1182.031   -39.4    -5.0   -14.8
1183.691   -33.4    -9.2   -23.6
1185.352    13.2    -8.4    11.0
1187.012    25.6    -3.0    12.1
1188.672    -4.0    -9.9   -16.3
1190.332   -19.3    -6.1   -10.5
1191.992   -43.9     0.4   -16.5
1193.652   -16.8   -20.8   -24.3
1195.312    23.7    -0.9    14.1
1196.973    28.4     5.0     8.0
1198.633    10.5   -13.6   -14.8
1200.293   -25.4   -13.1   -14.7
1201.953   -47.4    -3.4   -21.3
1203.613   -39.4   -16.4   -28.5
1205.273    18.0    -8.5     6.2
